EMAIL,PASSWORD,PRIVATE_TO
user1@email.com,exemplo,user1@email.com
user2@email.com,exemplo,user12@email.com
user3@email.com,exemplo,user6@email.com
user4@email.com,exemplo,user7@email.com
user5@email.com,exemplo,user16@email.com
user6@email.com,exemplo,user9@email.com
user7@email.com,exemplo,user21@email.com
user8@email.com,exemplo,user1@email.com
user9@email.com,exemplo,user25@email.com
user10@email.com,exemplo,user15@email.com
user11@email.com,exemplo,user17@email.com
user12@email.com,exemplo,user23@email.com
user13@email.com,exemplo,user13@email.com
user14@email.com,exemplo,user4@email.com
user15@email.com,exemplo,user17@email.com
user16@email.com,exemplo,user16@email.com
user17@email.com,exemplo,user5@email.com
user18@email.com,exemplo,user6@email.com
user19@email.com,exemplo,user23@email.com
user20@email.com,exemplo,user5@email.com
user21@email.com,exemplo,user2@email.com
user22@email.com,exemplo,user8@email.com
user23@email.com,exemplo,user10@email.com
user24@email.com,exemplo,user1@email.com
user25@email.com,exemplo,user15@email.com
